Entry ID,Pairs of Acession Code(s)
4DOH,"[['Q9NYY1', 'Q6UXL0'], ['Q6UXL0', 'Q9UHF4'], ['Q9UHF4', 'Q9NYY1']]"
4DRB,"[['Q8N2Z9', 'Q8IYD8'], ['Q8IYD8', 'A8MT69'], ['A8MT69', 'Q8N2Z9']]"
4.00E+41,"[['P01903', 'P01911'], ['P01911', 'P60174'], ['P60174', 'P01903']]"
4.00E+45,"[['Q8N2Z9', 'A8MT69'], ['A8MT69', 'Q8IYD8'], ['Q8IYD8', 'Q8N2Z9']]"
4EUP,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
4EXT,"[['Q9UBZ9', 'O60673'], ['O60673', 'Q9UI95'], ['Q9UI95', 'Q9UBZ9']]"
4F52,"[['Q13616', 'P62877'], ['P62877', 'Q92990'], ['Q92990', 'Q13616']]"
4FAO,"[['Q9UK05', 'P37023'], ['P37023', 'Q13705'], ['Q13705', 'Q9UK05']]"
4FTG,"[['P60903', 'P07355'], ['P07355', 'Q09666'], ['Q09666', 'P60903']]"
4GDK,"[['O94817', 'Q9H1Y0'], ['Q9H1Y0', 'Q676U5'], ['Q676U5', 'O94817']]"
4GDL,"[['O94817', 'Q9H1Y0'], ['Q9H1Y0', 'Q676U5'], ['Q676U5', 'O94817']]"
4GK0,"[['Q9UI95', 'O60673'], ['O60673', 'Q9UBZ9'], ['Q9UBZ9', 'Q9UI95']]"
4GQB,"[['O14744', 'Q9BQA1'], ['Q9BQA1', 'P62805'], ['P62805', 'O14744']]"
4GUR,"[['Q8NB78', 'Q49A26'], ['Q49A26', 'P84243'], ['P84243', 'Q8NB78']]"
4GUS,"[['Q8NB78', 'Q49A26'], ['Q49A26', 'P84243'], ['P84243', 'Q8NB78']]"
4H9N,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4H9O,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4H9P,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4H9Q,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4H9R,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4H9S,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
4HDQ,"[['O00522', 'P61224'], ['P61224', 'Q9ULI3'], ['Q9ULI3', 'O00522']]"
4HGA,"[['Q9UER7', 'P84243'], ['P84243', 'P62805'], ['P62805', 'Q9UER7']]"
4HIX,"[['P01857', 'P05067'], ['P05067', 'P01834'], ['P01834', 'P01857']]"
4HMY,"[['Q10567', 'Q96PC3'], ['Q96PC3', 'P84077'], ['P84077', 'Q10567']]"
4HX1,"[['P04439', 'P61769'], ['P61769', 'P40126'], ['P40126', 'P04439']]"
4IMY,"[['P50750', 'O60563'], ['O60563', 'Q9UHB7'], ['Q9UHB7', 'P50750']]"
4IS6,"[['P01903', 'P40967'], ['P40967', 'P01911'], ['P01911', 'P01903']]"
4JPZ,"[['Q92913', 'Q99250'], ['Q99250', 'P0DP23'], ['P0DP23', 'Q92913']]"
4JQ0,"[['Q14524', 'P61328'], ['P61328', 'P0DP23'], ['P0DP23', 'Q14524']]"
4K24,"[['P00749', 'P04004'], ['P04004', 'Q03405'], ['Q03405', 'P00749']]"
4K71,"[['P02768', 'P55899'], ['P55899', 'P61769'], ['P61769', 'P02768']]"
4KNG,"[['O75473', 'Q2MKA7'], ['Q2MKA7', 'Q68DV7'], ['Q68DV7', 'O75473']]"
4L3E,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
4L4T,"[['Q95460', 'P61769'], ['P61769', 'P01850'], ['P01850', 'Q95460']]"
4LAC,"[['Q15257', 'P30153'], ['P30153', 'P67775'], ['P67775', 'Q15257']]"
4MCY,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MCZ,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MD0,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MD4,"[['P01903', 'P01911'], ['P01911', 'P16112'], ['P16112', 'P01903']]"
4MD5,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MDI,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MDJ,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
4MMX,"[['P06756', 'P02751'], ['P02751', 'P05106'], ['P05106', 'P06756']]"
4MMY,"[['P06756', 'P05106'], ['P05106', 'P02751'], ['P02751', 'P06756']]"
4MMZ,"[['P05106', 'P02751'], ['P02751', 'P06756'], ['P06756', 'P05106']]"
4MQW,"[['P01215', 'P01225'], ['P01225', 'P23945'], ['P23945', 'P01215']]"
4MXW,"[['P36941', 'P01374'], ['P01374', 'Q06643'], ['Q06643', 'P36941']]"
4N0F,"[['P55899', 'P61769'], ['P61769', 'P02768'], ['P02768', 'P55899']]"
4N8V,"[['P43631', 'P04439'], ['P04439', 'P61769'], ['P61769', 'P43631']]"
4NKQ,"[['P32927', 'P04141'], ['P04141', 'P15509'], ['P15509', 'P32927']]"
4NM5,"[['P49841', 'O15169'], ['O15169', 'O75581'], ['O75581', 'P49841']]"
4NM7,"[['P49841', 'O15169'], ['O15169', 'O75581'], ['O75581', 'P49841']]"
4NNX,"[['P04439', 'P61769'], ['P61769', 'Q9BZL6'], ['Q9BZL6', 'P04439']]"
4NNY,"[['P04439', 'P61769'], ['P61769', 'Q9BZL6'], ['Q9BZL6', 'P04439']]"
4NO2,"[['P04439', 'P61769'], ['P61769', 'P33241'], ['P33241', 'P04439']]"
4NO3,"[['P04439', 'P61769'], ['P61769', 'Q01433'], ['Q01433', 'P04439']]"
4NO5,"[['P04439', 'P61769'], ['P61769', 'Q01433'], ['Q01433', 'P04439']]"
4NQA,"[['P19793', 'P55055'], ['P55055', 'Q15596'], ['Q15596', 'P19793']]"
4O2C,"[['P01889', 'P61769'], ['P61769', 'O00571'], ['O00571', 'P01889']]"
4O2E,"[['P01889', 'P61769'], ['P61769', 'O00571'], ['O00571', 'P01889']]"
4O2F,"[['P01889', 'P61769'], ['P61769', 'O00571'], ['O00571', 'P01889']]"
4OGR,"[['P50750', 'O60563'], ['O60563', 'Q9UHB7'], ['Q9UHB7', 'P50750']]"
4OGX,"[['P03952', 'S6C4R2'], ['S6C4R2', 'Q7Z3Y4'], ['Q7Z3Y4', 'P03952']]"
4OGY,"[['P03952', 'S6C4R2'], ['S6C4R2', 'Q7Z3Y4'], ['Q7Z3Y4', 'P03952']]"
4OQT,"[['Q96FE5', 'Q6PIL8'], ['Q6PIL8', 'S6B291'], ['S6B291', 'Q96FE5']]"
4OR5,"[['P50750', 'O60563'], ['O60563', 'Q9UHB7'], ['Q9UHB7', 'P50750']]"
4ORH,"[['P61088', 'Q15819'], ['Q15819', 'O76064'], ['O76064', 'P61088']]"
4OV5,"[['P01903', 'P04439'], ['P04439', 'P01911'], ['P01911', 'P01903']]"
4OWT,"[['Q68E01', 'Q9BQ15'], ['Q9BQ15', 'Q9NRY2'], ['Q9NRY2', 'Q68E01']]"
4OWW,"[['Q68E01', 'Q9BQ15'], ['Q9BQ15', 'Q9NRY2'], ['Q9NRY2', 'Q68E01']]"
4P4H,"[['P62987', 'O95786'], ['O95786', 'Q7Z434'], ['Q7Z434', 'P62987']]"
4P6Z,"[['P61966', 'Q10567'], ['Q10567', 'Q10589'], ['Q10589', 'P61966']]"
4Q9U,"[['Q9UJ41', 'P20339'], ['P20339', 'Q15276'], ['Q15276', 'Q9UJ41']]"
4QOK,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
4R2G,"[['P01730', 'P0DOY3'], ['P0DOY3', 'P0DOX5'], ['P0DOX5', 'P01730']]"
4R3Z,"[['Q12904', 'P54136'], ['P54136', 'P47897'], ['P47897', 'Q12904']]"
4R8P,"[['P35226', 'Q99496'], ['Q99496', ' P61077'], [' P61077', 'P35226']]"
4RER,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
4REW,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
4S3O,"[['P61077', 'Q99496'], ['Q99496', 'Q86SE9'], ['Q86SE9', 'P61077']]"
4TXR,"[['Q7LBR1', 'Q9NP79'], ['Q9NP79', 'Q9NZZ3'], ['Q9NZZ3', 'Q7LBR1']]"
4U7T,"[['Q9Y6K1', 'Q9UJW3'], ['Q9UJW3', 'P84243'], ['P84243', 'Q9Y6K1']]"
4UEL,"[['Q9Y5K5', 'P0CG47'], ['P0CG47', 'Q16186'], ['Q16186', 'Q9Y5K5']]"
4UF6,"[['Q6P4R8', 'Q9Y5K5'], ['Q9Y5K5', 'P0CG47'], ['P0CG47', 'Q6P4R8']]"
4UFS,"[['O75473', 'Q8BFU0'], ['Q8BFU0', 'Q9ULT6'], ['Q9ULT6', 'O75473']]"
4UI2,"[['Q92859', 'P12643'], ['P12643', 'Q6NW40'], ['Q6NW40', 'Q92859']]"
4UIS,"[['Q92542', 'D9IEF7'], ['D9IEF7', 'P49768'], ['P49768', 'Q92542']]"
4UJ3,"[['P62491', 'Q96QF0'], ['Q96QF0', 'O75154'], ['O75154', 'P62491']]"
4UJ4,"[['P62491', 'Q96QF0'], ['Q96QF0', 'O75154'], ['O75154', 'P62491']]"
4UM9,"[['P06756', 'P18564'], ['P18564', 'P10600'], ['P10600', 'P06756']]"
4V3K,"[['P62837', 'Q9H0F5'], ['Q9H0F5', 'P0CG48'], ['P0CG48', 'P62837']]"
4V3L,"[['P62837', 'P0CG48'], ['P0CG48', 'Q9H0F5'], ['Q9H0F5', 'P62837']]"
4W9C,"[['Q15369', 'Q15370'], ['Q15370', 'P40337'], ['P40337', 'Q15369']]"
4W9D,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9E,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9F,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9G,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9H,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9I,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4W9J,"[['Q15369', 'P40337'], ['P40337', 'Q15370'], ['Q15370', 'Q15369']]"
4W9K,"[['Q15369', 'Q15370'], ['Q15370', 'P40337'], ['P40337', 'Q15369']]"
4W9L,"[['Q15369', 'Q15370'], ['Q15370', 'P40337'], ['P40337', 'Q15369']]"
4WHV,"[['P61088', 'O76064'], ['O76064', 'P0CG47'], ['P0CG47', 'P61088']]"
4WJ5,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
4WJG,"[['P69905', 'P68871'], ['P68871', 'P00738'], ['P00738', 'P69905']]"
4WUU,"[['P04439', 'P61769'], ['P61769', 'P19544'], ['P19544', 'P04439']]"
4WY4,"[['Q9BV40', 'P56962'], ['P56962', 'O95721'], ['O95721', 'Q9BV40']]"
4X0L,"[['P69905', 'P68871'], ['P68871', 'P00738'], ['P00738', 'P69905']]"
4X5W,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
4XSS,"[['P05019', 'P06213'], ['P06213', 'P08069'], ['P08069', 'P05019']]"
4XXD,"[['P01834', 'P05067'], ['P05067', 'P01857'], ['P01857', 'P01834']]"
4Y19,"[['P01903', 'P01911'], ['P01911', 'P01308'], ['P01308', 'P01903']]"
4Y1A,"[['P01903', 'P01911'], ['P01911', 'P01308'], ['P01308', 'P01903']]"
4Y72,"[['P06493', 'P14635'], ['P14635', 'P33552'], ['P33552', 'P06493']]"
4Y99,"[['P63316', 'P45379'], ['P45379', 'P19429'], ['P19429', 'P63316']]"
4YC3,"[['P06493', 'P14635'], ['P14635', 'P33552'], ['P33552', 'P06493']]"
4Z2M,"[['Q9Y5B9', 'P68431'], ['P68431', 'P62805'], ['P62805', 'Q9Y5B9']]"
4ZHX,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
4ZO1,"[['P10828', 'Q15596'], ['Q15596', 'P19793'], ['P19793', 'P10828']]"
5AGX,"[['P10415', ' Q07817'], [' Q07817', 'O43521'], ['O43521', 'P10415']]"
5ANR,"[['A5YKK6', 'P26196'], ['P26196', 'Q9NRA8'], ['Q9NRA8', 'A5YKK6']]"
5BNV,"[['P84243', 'P62805'], ['P62805', 'P49736'], ['P49736', 'P84243']]"
5BO4,"[['O14508', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'O14508']]"
5C0D,"[['P04439', 'P61769'], ['P61769', 'P01308'], ['P01308', 'P04439']]"
5C7K,"[['S6B291', 'P01857'], ['P01857', 'P01834'], ['P01834', 'S6B291']]"
5CBA,"[['A0A0B4J2H0', 'P01704'], ['P01704', 'O43927'], ['O43927', 'A0A0B4J2H0']]"
5CBE,"[['A0A0B4J2H0', 'P01704'], ['P01704', 'O43927'], ['O43927', 'A0A0B4J2H0']]"
5CVN,"[['Q8TAF3', 'P62068'], ['P62068', 'P0CG47'], ['P0CG47', 'Q8TAF3']]"
5CVO,"[['Q8TAF3', 'P0CG47'], ['P0CG47', 'P62068'], ['P62068', 'Q8TAF3']]"
5D0K,"[['P62837', 'Q6ZSG1'], ['Q6ZSG1', 'P0CG47'], ['P0CG47', 'P62837']]"
5D0M,"[['P62837', 'Q6ZSG1'], ['Q6ZSG1', 'P0CG47'], ['P0CG47', 'P62837']]"
5DEF,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5DEG,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5DIS,"[['O14980', 'P62826'], ['P62826', 'O95149'], ['O95149', 'O14980']]"
5.00E+00,"[['P04439', 'P61769'], ['P61769', 'Q76R61'], ['Q76R61', 'P04439']]"
5E4E,"[['P35225', 'P24394'], ['P24394', 'P78552'], ['P78552', 'P35225']]"
5E6I,"[['K7N5M3', 'P04439'], ['P04439', 'P61769'], ['P61769', 'K7N5M3']]"
5EDV,"[['Q96EP0', 'P62837'], ['P62837', 'P0CG47'], ['P0CG47', 'Q96EP0']]"
5EU3,"[['P04439', 'P61769'], ['P61769', 'P40967'], ['P40967', 'P04439']]"
5EYA,"[['P61088', 'Q14258'], ['Q14258', 'P0CG47'], ['P0CG47', 'P61088']]"
5F0J,"[['Q96QK1', 'O75436'], ['O75436', 'O60493'], ['O60493', 'Q96QK1']]"
5F6L,"[['Q15291', 'Q9UBL3'], ['Q9UBL3', 'Q03164'], ['Q03164', 'Q15291']]"
5FA5,"[['Q9BQA1', 'P62805'], ['P62805', 'O14744'], ['O14744', 'Q9BQA1']]"
5FFO,"[['P06756', 'P18564'], ['P18564', 'P01137'], ['P01137', 'P06756']]"
5FQD,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'P48729'], ['P48729', 'Q16531']]"
5FU6,"[['A5YKK6', 'Q9NZN8'], ['Q9NZN8', 'O75175'], ['O75175', 'A5YKK6']]"
5FU7,"[['A5YKK6', 'Q9NZN8'], ['Q9NZN8', 'O75175'], ['O75175', 'A5YKK6']]"
5FUG,"[['P0C0S5', 'P06899'], ['P06899', 'Q15906'], ['Q15906', 'P0C0S5']]"
5FWK,"[['P08238', 'Q16543'], ['Q16543', 'P11802'], ['P11802', 'P08238']]"
5FWL,"[['P08238', 'Q16543'], ['Q16543', 'P11802'], ['P11802', 'P08238']]"
5FWM,"[['P08238', 'Q16543'], ['Q16543', 'P11802'], ['P11802', 'P08238']]"
5FWP,"[['P08238', 'Q16543'], ['Q16543', 'P11802'], ['P11802', 'P08238']]"
5FWW,"[['O75581', 'Q96MU8'], ['Q96MU8', 'O94907'], ['O94907', 'O75581']]"
5H64,"[['P42345', 'Q8N122'], ['Q8N122', 'Q9BVC4'], ['Q9BVC4', 'P42345']]"
5H6Q,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'P68431'], ['P68431', 'O60341']]"
5H6R,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'P68431'], ['P68431', 'O60341']]"
5H7S,"[['P0CG47', 'Q8TBB1'], ['Q8TBB1', 'P61088'], ['P61088', 'P0CG47']]"
5HE1,"[['P25098', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P25098']]"
5HPT,"[['Q9H0M0', 'P62987'], ['P62987', 'P68036'], ['P68036', 'Q9H0M0']]"
5HQ0,"[['P06493', 'P14635'], ['P14635', 'P33552'], ['P33552', 'P06493']]"
5HU6,"[['P69905', 'P68871'], ['P68871', 'P00738'], ['P00738', 'P69905']]"
5HXB,"[['P15170', 'Q16531'], ['Q16531', 'Q96SW2'], ['Q96SW2', 'P15170']]"
5IB1,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5IB2,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5IB3,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5IB4,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5IB5,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
5IBK,"[['P63208', 'Q969H0'], ['Q969H0', 'P0CG47'], ['P0CG47', 'P63208']]"
5IEH,"[['P01889', 'P61769'], ['P61769', 'Q9NQS7'], ['Q9NQS7', 'P01889']]"
5IEK,"[['P01889', 'P61769'], ['P61769', 'Q9NQS7'], ['Q9NQS7', 'P01889']]"
5ISO,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
5J11,"[['Q969D9', 'P16871'], ['P16871', 'Q9HC73'], ['Q9HC73', 'Q969D9']]"
5JI0,"[['P19793', 'P37231'], ['P37231', 'Q15788'], ['Q15788', 'P19793']]"
5JK7,"[['Q9Y4B6', 'Q16531'], ['Q16531', 'P13051'], ['P13051', 'Q9Y4B6']]"
5JLH,"[['P63261', 'Q7Z406'], ['Q7Z406', ' P05095'], [' P05095', 'P63261']]"
5JLZ,"[['P01903', 'P01911'], ['P01911', 'P06733'], ['P06733', 'P01903']]"
5K1C,"[['O75317', 'Q8TAF3'], ['Q8TAF3', 'Q8TBZ3'], ['Q8TBZ3', 'O75317']]"
5KDM,"[['P84243', 'P62805'], ['P62805', 'Q9UER7'], ['Q9UER7', 'P84243']]"
5KNM,"[['P30511', 'P61769'], ['P61769', 'Q8NHL6'], ['Q8NHL6', 'P30511']]"
5KSU,"[['P01909', 'Q5Y7D3'], ['Q5Y7D3', 'P04233'], ['P04233', 'P01909']]"
5KSV,"[['P01909', 'Q5Y7D3'], ['Q5Y7D3', 'P04233'], ['P04233', 'P01909']]"
5KYU,"[['Q15436', 'O94855'], ['O94855', 'Q5JRA6'], ['Q5JRA6', 'Q15436']]"
5KYW,"[['Q15436', 'O94855'], ['O94855', 'Q5JRA6'], ['Q5JRA6', 'Q15436']]"
5KZ5,"[['Q9Y697', 'Q16595'], ['Q16595', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
5L1Z,"[['P50750', 'O60563'], ['O60563', 'Q9UHB7'], ['Q9UHB7', 'P50750']]"
5L8W,"[['O75317', 'Q8TAF3'], ['Q8TAF3', 'P0CG47'], ['P0CG47', 'O75317']]"
5LAX,"[['P01903', 'P01911'], ['P01911', 'P06733'], ['P06733', 'P01903']]"
5LLI,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5LQF,"[['P06493', 'P14635'], ['P14635', 'P33552'], ['P33552', 'P06493']]"
5M5E,"[['P14784', 'P31785'], ['P31785', 'P60568'], ['P60568', 'P14784']]"
5MEO,"[['P04439', 'P61769'], ['P61769', 'O14746'], ['O14746', 'P04439']]"
5MEP,"[['P04439', 'P61769'], ['P61769', 'O14746'], ['O14746', 'P04439']]"
5MEQ,"[['P04439', 'P61769'], ['P61769', 'O14746'], ['O14746', 'P04439']]"
5MER,"[['P04439', 'P61769'], ['P61769', 'O14746'], ['O14746', 'P04439']]"
5MZV,"[['P29460', 'Q9NPF7'], ['Q9NPF7', 'Q5VWK5'], ['Q5VWK5', 'P29460']]"
5N9G,"[['Q9HAW0', 'P20226'], ['P20226', 'A6H8Y1'], ['A6H8Y1', 'Q9HAW0']]"
5NAN,"[['Q16552', 'Q96F46'], ['Q96F46', 'Q96PD4'], ['Q96PD4', 'Q16552']]"
5NI9,"[['P01903', 'P01911'], ['P01911', 'P06733'], ['P06733', 'P01903']]"
5NIG,"[['P01903', 'P01911'], ['P01911', 'P06733'], ['P06733', 'P01903']]"
5NVV,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NVW,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NVX,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NVY,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NVZ,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NW0,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NW1,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5NW2,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
5O32,"[['P01024', 'P08603'], ['P08603', 'P05156'], ['P05156', 'P01024']]"
5OO6,"[['Q09161', 'P52298'], ['P52298', 'Q9BXP5'], ['Q9BXP5', 'Q09161']]"
5OOB,"[['Q09161', 'P52298'], ['P52298', 'L9KL62'], ['L9KL62', 'Q09161']]"
5SVE,"[['Q08209', 'P63098'], ['P63098', 'O95644'], ['O95644', 'Q08209']]"
5T5W,"[['Q08334', 'Q8IU57'], ['Q8IU57', 'Q8IZI9'], ['Q8IZI9', 'Q08334']]"
5T6Z,"[['P01889', 'P61769'], ['P61769', 'P43629'], ['P43629', 'P01889']]"
5T70,"[['P01889', 'P61769'], ['P61769', 'P43629'], ['P43629', 'P01889']]"
5TBY,"[['P12883', 'P08590'], ['P08590', 'P10916'], ['P10916', 'P12883']]"
5TUV,"[['Q14186', 'Q15329'], ['Q15329', 'P28749'], ['P28749', 'Q14186']]"
5U98,"[['P61769', 'O00267'], ['O00267', 'P01889'], ['P01889', 'P61769']]"
5UAN,"[['P19793', 'P10826'], ['P10826', 'Q15596'], ['Q15596', 'P19793']]"
5UDH,"[['Q9Y4X5', 'P68036'], ['P68036', 'P0CG48'], ['P0CG48', 'Q9Y4X5']]"
5UJ7,"[['Q13415', 'O43929'], ['O43929', 'O43913'], ['O43913', 'Q13415']]"
5UKK,"[['P25098', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P25098']]"
5UKL,"[['P25098', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P25098']]"
5ULH,"[['P62837', 'P0CG47'], ['P0CG47', 'Q6ZSG1'], ['Q6ZSG1', 'P62837']]"
5ULK,"[['P62837', 'P0CG47'], ['P0CG47', 'Q6ZSG1'], ['Q6ZSG1', 'P62837']]"
5UQ3,"[['P24941', 'Q5MJ70'], ['Q5MJ70', 'P46527'], ['P46527', 'P24941']]"
5UTZ,"[['Q6GMX6', 'Q6IPQ0'], ['Q6IPQ0', 'P60568'], ['P60568', 'Q6GMX6']]"
5V1Y,"[['Q16186', 'P0CG47'], ['P0CG47', 'Q99460'], ['Q99460', 'Q16186']]"
5V1Z,"[['Q16186', 'P0CG47'], ['P0CG47', 'Q99460'], ['Q99460', 'Q16186']]"
5V4B,"[['P63208', 'Q969H0'], ['Q969H0', 'Q9NRI5'], ['Q9NRI5', 'P63208']]"
5VEB,"[['S6B291', 'P01834'], ['P01834', 'P55285'], ['P55285', 'S6B291']]"
5VGE,"[['P10321', 'P61769'], ['P61769', 'P68431'], ['P68431', 'P10321']]"
5VIY,"[['P01834', 'S6B291'], ['S6B291', 'Q8TCD0'], ['Q8TCD0', 'P01834']]"
5VZ5,"[['P01889', 'P61769'], ['P61769', 'Q9UM73'], ['Q9UM73', 'P01889']]"
5VZU,"[['P63208', 'Q5XUX0'], ['Q5XUX0', 'P24385'], ['P24385', 'P63208']]"
5VZW,"[['P62837', 'P0CG47'], ['P0CG47', 'P36406'], ['P36406', 'P62837']]"
5VZY,"[['P0DOX5', 'Q0KKI6'], ['Q0KKI6', 'P05067'], ['P05067', 'P0DOX5']]"
5W1W,"[['P13747', 'P61769'], ['P61769', 'P04439'], ['P04439', 'P13747']]"
5W21,"[['Q9UEF7', 'Q9GZV9'], ['Q9GZV9', 'P11362'], ['P11362', 'Q9UEF7']]"
5WAI,"[['Q09028', 'Q15022'], ['Q15022', 'Q6ZN18'], ['Q6ZN18', 'Q09028']]"
5WBU,"[['P42345', 'Q9BVC4'], ['Q9BVC4', 'Q96B36'], ['Q96B36', 'P42345']]"
5WBY,"[['P42345', 'Q9BVC4'], ['Q9BVC4', 'Q96B36'], ['Q96B36', 'P42345']]"
5WKO,"[['Q6N089', 'Q6P5S8'], ['Q6P5S8', ' Q9UL78'], [' Q9UL78', 'Q6N089']]"
5WKP,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
5WLW,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
5WVO,"[['P62979', 'P26358'], ['P26358', 'P68431'], ['P68431', 'P62979']]"
5X60,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'P68431'], ['P68431', 'O60341']]"
5XAU,"[['O15230', 'P07942'], ['P07942', 'P11047'], ['P11047', 'O15230']]"
5XJM,"[['P50052', ' P0ABE7'], [' P0ABE7', 'P01019'], ['P01019', 'P50052']]"
5XYF,"[['Q9BSI4', 'Q15554'], ['Q15554', 'Q96AP0'], ['Q96AP0', 'Q9BSI4']]"
5Y3R,"[['P12956', 'P13010'], ['P13010', 'P78527'], ['P78527', 'P12956']]"
5Z12,"[['Q96RI1', 'P19793'], ['P19793', 'Q15596'], ['Q15596', 'Q96RI1']]"
5ZBU,"[['P62837', 'O43567'], ['O43567', 'P0CG47'], ['P0CG47', 'P62837']]"
6A5Y,"[['Q96RI1', 'Q15788'], ['Q15788', 'P19793'], ['P19793', 'Q96RI1']]"
6A5Z,"[['Q96RI1', 'P19793'], ['P19793', 'Q15788'], ['Q15788', 'Q96RI1']]"
6A60,"[['Q96RI1', 'Q15788'], ['Q15788', 'P19793'], ['P19793', 'Q96RI1']]"
6AL5,"[['P15391', 'A8K008'], ['A8K008', 'Q6P5S8'], ['Q6P5S8', 'P15391']]"
6ARU,"[['P00533', 'Q8TCD0'], ['Q8TCD0', 'P0DOX5'], ['P0DOX5', 'P00533']]"
6AT5,"[['P01889', 'P61769'], ['P61769', 'P78358'], ['P78358', 'P01889']]"
6AT9,"[['Q9UM73', 'P04439'], ['P04439', 'P61769'], ['P61769', 'Q9UM73']]"
6ATH,"[['P24941', 'P46527'], ['P46527', 'P20248'], ['P20248', 'P24941']]"
6ATI,"[['P01903', 'A0A0A1I7H6'], ['A0A0A1I7H6', 'P08670'], ['P08670', 'P01903']]"
